Name Of Hotel,Rating,Location,Price AMD,Breakfast,Room,Outdoors,Ski,Activities,Food & Drink,Internet,Parking,Languages spoken,Wellness,Outdoor swimming pool,Spa
The River House Yeghegis,9.8,Artabuynkʼ,"7,000",Included,Economy Quadruple Room,Picnic area,Doesn't have,Nightclub/DJ (Additional charge) | Karaoke (Additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Bar | Tea/Coffee maker,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
HOTEL N1,9,Yerevan,"13,500",Not Included,Twin Room with Bath,Picnic area | Outdoor furniture | Sun terrace | Balcony | Terrace | Garden,Doesn't have,Tennis equipment | Children's playground,Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,,English | Armenian | Russian,Water slide,Doesn't have,Doesn't have
Zartonq,9.9,Tatʼev,"10,000",Included,Double Room,Picnic area | Outdoor furniture | Sun terrace | Terrace | Garden,Doesn't have,Walking tours (Additional charge),Coffee house on site | Kid-friendly buffet | Kid meals | Breakfast in the room,WiFi is available in the hotel rooms and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Gosh hotel,8.5,Gosh,"9,950",Not Included,Twin Room,Picnic area | BBQ facilities | Garden,Doesn't have,Hiking | Table tennis | Fishing,Fruits (Additional charge) | Wine/champagne (Additional charge) | Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,Secured parking,English | French | Russian,Doesn't have,Doesn't have,Doesn't have
Mountains’ home,,Khashtʼarrak,"6,300",Included,Double Room,Terrace,Doesn't have,Doesn't have,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Breakfast in the room | Bar | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
EleGaya Guest house,9.6,Ijevan,"12,000",Not Included,Twin Room with Garden View,Picnic area | Outdoor furniture | Sun terrace | Barbecue | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Live music/performance | Kids' club | Horse riding (Additional charge) | Cycling | Hiking | Karaoke | Table tennis | Billiards | Children's playground | Games room,Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,Secured parking,English | Armenian | Russian,Fitness | Sun umbrellas | Sun loungers or beach chairs | Hot tub/Jacuzzi | Fitness centre | Sauna (Additional charge),Doesn't have,Doesn't have
ALEX Hotel in Shinuhayr,8.2,Shinuhayr,"6,720",Included,Twin Room with Mountain View,Outdoor fireplace | Outdoor dining area | Barbecue | Balcony | Terrace | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
V&V Hotel,9.1,Gyulagarak,"15,000",Included,Double Room with Terrace,Terrace | Garden,Doesn't have,"Walking tours (Additional charge) | Hiking (Off-site, Additional charge) | Fishing (Off-site, Additional charge)",Fruits (Additional charge) | Wine/champagne (Additional charge) | Breakfast in the room | Bar | Restaurant,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Sun umbrellas | Sauna (Additional charge),Doesn't have,Doesn't have
Khachats Toun Heritage,8.8,Meghri,"12,000",Not Included,Double Room,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor furniture | Sun terrace | Barbecue | BBQ facilities (Additional charge) | Balcony | Terrace | Garden,Doesn't have,"Live sport events (broadcast) | Tour or class about local culture (Additional charge) | Happy hour | Themed dinner nights (Additional charge) | Walking tours (Additional charge) | Hiking (Off-site, Additional charge)",Coffee house on site | Fruits | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Electric vehicle charging station | Street parking | Secured parking,German | English | Armenian | Italian | Russian,Doesn't have,Doesn't have,Doesn't have
Areni Wine Art,9.2,Areni,"15,000",Included,Twin Room,Doesn't have,Doesn't have,Doesn't have,Doesn't have,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Ojakh Hotel,8.4,Ijevan,"15,000",Not Included,Large Double Room,Terrace,Doesn't have,Doesn't have,Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Capsule hostel in the old city of Yerevan,7.8,Yerevan,"4,500",Not Included,Single Bed in Dormitory Room,Terrace | Balcony,Doesn't have,Tour or class about local culture (Additional charge),Fruits | Wine/champagne,WiFi is available in all areas and is free of charge.,,English | Armenian | Malay | Filipino,Doesn't have,Doesn't have,Doesn't have
Zartonq guesthouse,8,Dzhul,"15,000",Included,Standard King Room,Picnic area | Outdoor furniture | Outdoor dining area | Sun terrace | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,"Tour or class about local culture (Additional charge) | Walking tours (Additional charge) | Beach | Spa lounge/relaxation area | Open-air bath | Beachfront | Private beach area | Horse riding (Off-site, Additional charge) | Hiking (Off-site, Additional charge) | Fishing (Off-site, Additional charge)",Tea/Coffee maker,WiFi is available in public areas and is free of charge.,Electric vehicle charging station | Parking garage | Secured parking,English | Armenian | Russian,,Doesn't have,Doesn't have
Shushan B&B,9.5,Yeghegnadzor,"8,000",Included,Deluxe Double Room,Outdoor fireplace | Picnic area | Outdoor furniture | Balcony | Garden,Doesn't have,Walking tours,Wine/champagne,No internet access available.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
"Дома есть три спальни wi-fi туалет и душевой и можем дать еду которого вы захотите из нашего меню.В доме есть все необходимые условие. рядом в близости 3-4 км находится вайоц сар вымерший вулкан, сурб сион моностыр ест и вездеходная машина",,Gerger,"10,800",Included,Double Room,Picnic area | Barbecue | BBQ facilities | Terrace | Garden,Doesn't have,Doesn't have,Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Lucy B&B,9.5,Goris,"10,000",Not Included,Twin Room with Shower,Garden,Doesn't have,Doesn't have,Bar,WiFi is available in public areas and is free of charge.,,English | Armenian | Russian,,Doesn't have,Doesn't have
Mthnadzor,9.6,Goris,"16,000",Not Included,Large Twin Room,Outdoor dining area | Outdoor furniture | Terrace | Patio | Balcony,Doesn't have,Games room,Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Panorama hotel on Baghramyan avenue,9,Yerevan,"15,300",Not Included,Double Room with Balcony,Doesn't have,Doesn't have,Doesn't have,Breakfast in the room,WiFi is available in all areas and is free of charge.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
J&S,9.7,Vanadzor,"14,000",Not Included,Double or Twin Room,Balcony | Terrace | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
Qobayr B&B,9,Tʼumanyan,"7,500",Not Included,Deluxe Quadruple Room,Doesn't have,Doesn't have,Doesn't have,Doesn't have,WiFi is available in public areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Old Yerevan Hotel,8.5,Yerevan,"19,950",Not Included,Double or Twin Room with Private External Bathroom,Terrace | Garden,Doesn't have,Live sport events (broadcast) | Cooking class | Movie nights | Games room,Doesn't have,WiFi is available in all areas and is free of charge.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
L-and-L,8.7,Aghavnadzor,"28,000",Not Included,Standard Twin Room with Mountain View,Outdoor dining area | Terrace | Garden,Doesn't have,Doesn't have,Bar | Restaurant | Minibar | Tea/Coffee maker,No internet access available.,,Russian,Doesn't have,Doesn't have,Doesn't have
The River House Yeghegis,9.8,Artabuynkʼ,"7,000",Included,Economy Quadruple Room,Picnic area | Sun terrace | Barbecue | Private pool | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,"Horse riding (Off-site, Additional charge) | Hiking (Off-site) | Fishing (Off-site)",Grocery deliveries (Additional charge) | Special diet menus (on request) | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Open-air bath,Doesn't have,Doesn't have
Minotel Barsam Suites,7.9,Yerevan,"25,000",Included,Budget Single Room,Garden,Doesn't have,Cycling,Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,Street parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Ani Resort,7.6,Artavaz,"40,000",Not Included,Double or Twin Room with Mountain View,Terrace,Doesn't have,Tour or class about local culture (Additional charge),Coffee house on site,WiFi is available in the hotel rooms and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Green Garden Armenia Sevan sity Myasnikyan st Home 23,,Aghk'ilisa,"7,650",Not Included,Deluxe Double Room (2 Adults + 1 Child),Garden,Doesn't have,Hiking | Games room,Doesn't have,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Tumanyan Bathhouse Hostel,,Tʼumanyan,"9,000",Not Included,Superior Double or Twin Room,Terrace | Garden,Doesn't have,Doesn't have,Tea/Coffee maker,No internet access available.,,English | French | Georgian | Russian,Doesn't have,Doesn't have,Doesn't have
Igor Bed and Breakfast,9.9,Halidzor,"29,700",Included,Classic Triple Room,Outdoor fireplace | Picnic area | Outdoor furniture | Barbecue | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Walking tours,Tea/Coffee maker,WiFi is available in the hotel rooms and is free of charge.,,English | Armenian | Russian,,Doesn't have,Doesn't have
Family Appartments on Buzand street,8.8,Yerevan,"18,000",Not Included,One-Bedroom Apartment,Picnic area | BBQ facilities (Additional charge) | Terrace | Garden,Doesn't have,Karaoke | Table tennis | Billiards (Additional charge) | Children's playground | Games room | Fishing | Tennis court,Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Anna Home B&B,9.5,Areni,"8,800",Included,Large Double Room,Doesn't have,Doesn't have,"Live sport events (broadcast) | Tour or class about local culture (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Movie nights (Off-site, Additional charge) | Pub crawls (Additional charge) | Bowling (Off-site, Additional charge) | Hiking (Off-site) | Bicycle rental (additional charge) | Tennis court (Off-site, Additional charge)",Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Snack bar | Breakfast in the room | Bar,WiFi is available in all areas and is free of charge.,Street parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Santorini Hostel,8.9,Yerevan,"3,990",Not Included,Bed in 6-Bed Female Dormitory Room,Balcony | Terrace | Garden,Doesn't have,Doesn't have,Doesn't have,WiFi is available in public areas and is free of charge.,,Russian,Doesn't have,Doesn't have,Doesn't have
Centrale Guesthouse,8.8,Jermuk,"22,000",Included,Double or Twin Room with Balcony,Picnic area | Outdoor furniture | Outdoor furniture | Sun terrace | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Hiking (Off-site),Special diet menus (on request) | Bar,WiFi is available in public areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Guest house in Alaverdi,9.5,Alaverdi,"11,815",Included,Single Room with Mountain View,Outdoor dining area | Outdoor furniture | Barbecue | BBQ facilities | Balcony | Terrace | Garden,Doesn't have,Water sport facilities on site (Additional charge) | Diving (Additional charge),Grocery deliveries (Additional charge) | Tea/Coffee maker,No internet access available.,,German | English | Spanish | Armenian | Russian,Sun loungers or beach chairs,Doesn't have,Doesn't have
Casanova Inn - Boutique Hotel,9.2,Dilijan,"19,780",Included,Standard Single Room with Mountain View,Sun terrace | Terrace | Garden,Doesn't have,Billiards (Additional charge),Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Snack bar | Breakfast in the room | Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,Secured parking,English | Russian,Sun umbrellas | Sun loungers or beach chairs | Massage (Additional charge),Doesn't have,Doesn't have
